Albany;43;25
Athens;23;3
Atlanta;22;3
Augusta;25;3
Bloomington;18;18
Boston;47;24
Charlotte;30;10
Chicago;16;22
Cincinnati;22;19
Cleveland;29;21
Columbia;29;9
Dallas;0;7
Erie;30;24
Greenville;27;10
Huntsville;9;21
Jackson;5;9
Jacksonville;31;2
Jefferson city;17;27
Jonesboro;9;10
Lansing;21;24
Madison ;19;9
Memphis;10;10
Montreal, CA;42;30
Myrtle beach;34;7
Nashville;18;13
New York;42;20
Ocean city;17;40
Okhlahoma city;0;10
Ottawa;40;30
Philadelphia;40;19
Pittsburgh;32;20
Providence;46;22
Quebec, CA;44;31
Richmond;36;15
Saint Louis;21;27
Saint Paul;4;29
Syracuse;41;27
Topeka;1;19
Toronto, CA;29;25
Worcester;45;23
